,JURISDICTION_NAME,PERCENT_PACIFIC_ISLANDER,PERCENT_HISPANIC_LATINO,PERCENT_AMERICAN_INDIAN,PERCENT_ASIAN_NON_HISPANIC,PERCENT_WHITE_NON_HISPANIC,PERCENT_BLACK_NON_HISPANIC,PERCENT_OTHER_ETHNICITY
92,11021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,11050,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,11101,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,11102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,11103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,11104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,11105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,11106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,11112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,11201,0.0,0.18,0.0,0.09,0.09,0.45,0.18
103,11202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,11203,0.0,0.13,0.0,0.07,0.13,0.53,0.13
105,11204,0.0,0.0,0.0,0.0,0.97,0.0,0.03
106,11205,0.0,0.0,0.0,0.0,0.8,0.0,0.2
107,11206,0.0,0.0,0.0,0.0,1.0,0.0,0.0
108,11207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,11208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,11209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,11210,0.0,0.0,0.0,0.0,0.92,0.0,0.08
112,11211,0.0,0.06,0.0,0.03,0.82,0.03,0.06
113,11212,0.0,0.1,0.0,0.1,0.0,0.7,0.1
114,11213,0.0,0.0,0.0,0.0,0.84,0.0,0.16
115,11214,0.0,0.0,0.0,0.5,0.4,0.1,0.0
116,11215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,11216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,11217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,11218,0.0,0.01,0.0,0.03,0.86,0.05,0.05
120,11219,0.0,0.0,0.0,0.0,0.96,0.0,0.03
121,11220,0.0,0.0,0.0,0.13,0.75,0.0,0.13
122,11221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,11222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,11223,0.0,0.01,0.0,0.06,0.87,0.01,0.05
125,11224,0.0,0.15,0.0,0.08,0.04,0.65,0.09
126,11225,0.0,0.0,0.0,0.0,1.0,0.0,0.0
127,11226,0.0,0.6,0.0,0.0,0.0,0.4,0.0
128,11228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,11229,0.0,0.04,0.0,0.1,0.75,0.04,0.06
130,11230,0.0,0.0,0.0,0.03,0.87,0.01,0.07
131,11231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,11232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,11233,0.0,0.0,0.0,0.0,0.29,0.64,0.07
134,11234,0.0,0.14,0.0,0.0,0.63,0.17,0.07
135,11235,0.0,0.14,0.0,0.08,0.72,0.04,0.02
136,11236,0.0,0.0,0.0,0.0,0.14,0.71,0.0
137,11237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,11238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,11239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,11252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,11354,0.0,0.5,0.0,0.0,0.0,0.0,0.5
142,11355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,11356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,11357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,11358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,11360,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,11361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,11362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,11364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,11365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,11366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,11367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,11368,0.0,0.6,0.0,0.2,0.2,0.0,0.0
154,11369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,11370,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,11371,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,11372,0.0,1.0,0.0,0.0,0.0,0.0,0.0
158,11373,0.0,0.0,0.0,0.0,1.0,0.0,0.0
159,11374,0.0,0.0,0.0,0.0,0.5,0.5,0.0
160,11375,0.0,0.4,0.0,0.0,0.0,0.6,0.0
161,11377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,11378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,11379,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,11385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,11411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,11412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,11413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,11414,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,11415,0.0,0.0,0.0,0.0,1.0,0.0,0.0
170,11416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,11417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,11418,0.0,0.25,0.0,0.0,0.0,0.25,0.25
173,11419,0.0,0.0,0.0,0.0,0.0,1.0,0.0
174,11420,0.0,0.5,0.0,0.0,0.0,0.0,0.5
175,11421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,11422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,11423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,11424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,11425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,11426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,11427,0.0,0.5,0.0,0.0,0.0,0.5,0.0
182,11428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,11429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,11430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,11431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,11432,0.0,0.0,0.0,0.5,0.0,0.5,0.0
187,11433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
